NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
	incollection	macaulay2014	Macaulay, R. K.	{L}inguistic maps: {V}isual aid or abstract art?	2014	Routledge		172--186	{S}tudies in {L}inguistic {G}eography								
	article	MacWhinney2015	MacWhinney, B.	{A}nalyses of {A}phasia{B}ank data	2015				{F}ront {P}sychol					doi:10.3389/conf.fpsyg.2015.65.00055			
	article	manickalevin2022	Manicka, S. and Levin, M.	{M}inimal developmental computation: a causal network approach to understand morphogenetic pattern formation	2022	MDPI		107			Entropy	1			24		
	mathesis	marinina2024	Marinina, V.	{S}emantics of {N}orthern {K}hanty demonstratives: {S}patial deixis, discourse, and attention	2024	НИУ ВШЭ	Москва										
	article	Markowitz2020	Markowitz, D.M.	{P}utting your best pet forward: {L}anguage patterns of persuasion in online pet advertisements	2020			160--173			Journal of Applied Social Psychology	3			50		
	article	Markowitz2020	Markowitz, D.M.	{P}utting your best pet forward: {L}anguage patterns of persuasion in online pet advertisements	2020			160--173			Journal of Applied Social Psychology	3			50		
	article	Martin2014	Martín, P. and León Pérez, I. K.	{C}onvincing peers of the value of one’s research: {A} genre analysis of rhetorical promotion in academic texts	2014			1--13			English for Specific Purposes	34					
ru	article	Martynenko2018	Мартыненко, Г.Я. and Шерстинова, Т.Ю. and Мельник, А.Г. and Попова, Т.И.	{М}етодологические проблемы создания компьютерной антологии русского рассказа как языкового ресурса для исследования языка и стиля русской художественной прозы в эпоху революционных перемен (первой трети {X}{X} века)	2018			97--102	{К}омпьютерная лингвистика и вычислительные онтологии			2					
ru	incollection	Martynenko2018a	Мартыненко, Г.Я. and Шерстинова, Т.Ю. and Попова, Т.И. and Мельник, А.Г. and Замирайлова, Е.В.	{О} принципах создания корпуса русского рассказа первой трети {X}{X} века	2018			180--197	{Т}руды {X}{V} {М}еждународной конференции по компьютерной и когнитивной лингвистике «{T}{E}{L} 2018»								
ru	article	MartynenkoEtAl2018	Мартыненко, Г.Я. and Шерстинова, Т.Ю. and Мельник, А.Г. and Попова, Т.И.	{М}етодологические проблемы создания компьютерной антологии русского рассказа как языкового ресурса для исследования языка и стиля русской художественной прозы в эпоху революционных перемен (первой трети {X}{X} века)	2018			97--102			Компьютерная лингвистика и вычислительные онтологии	2					
ru	article	MartynenkoEtAlTEL2018	Мартыненко, Г.Я. and Шерстинова, Т.Ю. and Попова, Т.И. and Мельник, А.Г. and Замирайлова, Е.В.	{О} принципах создания корпуса русского рассказа первой трети {X}{X} века	2018			180--197	{Т}руды {X}{V} {М}еждународной конференции по компьютерной и когнитивной лингвистике «{T}{E}{L} 2018»								
	inproceedings	masliukov2024	Masliukov, V.	{P}ossessive agreement and external possessors in {K}azym {K}hanty	2024		Гамбург		{S}yntax of {U}ralic {L}anguages 5					http://tipl.philol.msu.ru/application/files/9017/4523/9866/MYaBL2025_Marinina.pdf			
	article	matthewson2006	Matthewson, L.	{T}emporal semantics in a superficially tenseless language	2006			673--713			Linguistics and Philosophy	6			29		
	article	Matthewsonetal2007	Matthewson, L. and Davis, H. and Rullmann, H.	{E}videntials as epistemic modals: evidence from {S}t’ ́at’imcets’	2007			201--254			Linguistic Variation Yearbook				7		
	incollection	matushansky2015	Matushansky, O. and Ruys, E.	{M}easure for measure	2015			317--330	{S}lavic grammar from a formal perspective: {T}he 10th anniversary {F}{D}{S}{L} conference								
	article	mcneillhale2017	McNeill, G. and Hale, S. A.	{G}enerating tile maps	2017			435--445			Computer graphics forum	3			36		
	book	mechkina2014	Мечкина, Е. И.	{П}а̄ррнэ па̄ль мушштлэз. [{В}оспоминания из детства]	2014		Мурманск, Россия										
	article	meulemansetal2020	Meulemans, W. and Sondag, M. and Speckmann, B.	{A} simple pipeline for coherent grid maps	2020			1236--1246			IEEE Transactions on Visualization and Computer Graphics	2			27		
	article	Millar2020	Millar, N. and Budgell, B. and Salager-Meyer, F.	{H}ype in reports of clinical research: {T}he authors’ perspectives	2020			53--64			English for Specific Purposes	60					
	incollection	miyauchi2020	Miyauchi, T.	{H}ow to introduce instrumental agents: {E}vidence from binding in {R}ussian event nominal phrases	2020	Language Science Press	Berlin	179--204	{A}dvances in formal {S}lavic linguistics 2017	Marušič, F. and Mišmaš, P. and Žaucer, R.							
	article	modarresikrifka2021	Modarresi, F. and Krifka, M.	{P}seudo {I}ncorporation and {A}naphoricity: {E}vidence from {P}ersian	2021	Open Library of Humanities		1--32			Glossa: a journal of general linguistics	1			36		
	article	moltmann2013	Moltmann, F.	{P}ropositions, attitudinal objects, and the distinction between actions and products	2013	University of Calgary Press		679--701			Canadian Journal of Philosophy	5/6			43		
	article	moltmann2020	Moltmann, F.	{T}ruthmaker semantics for natural language: {A}ttitude verbs, modals, and intensional transitive verbs	2020	Mouton de Gruyter		159--200			Theoretical Linguistics	3-4			46		
	incollection	moltmann2023	Moltmann, F.	{A}ttitudinal objects and propositions	2023	Routledge	New York and London	408--423	{R}outledge {H}andbook of {P}ropositions	Tillman, C. and Murray, A. R.							
	book	moltmann2024	Moltmann, F.	{O}bjects and {A}ttitudes	2024	Oxford University Press	Oxford										
	article	Morallo2022	Morallo, A.B.	{C}orpus-based investigation of {S}-{V} concord patterns of nouns with {L}atin plural endings	2022			97--116			Malaysian Journal of ELT Research	19(2)					
	article	Moreno-Torres2020	Moreno-Torres, I. and Nava, E.	{C}onsonant and vowel articulation accuracy in younger and middle-aged {S}panish healthy adults	2020				e0242018		PLoS One	11			15		
	manual	moroz2017	Moroz, G.	lingtypology: easy mapping for {L}inguistic {T}ypology [{R} package]	2017												
	incollection	moroz2021	Moroz, G.	{O}n phonology of {E}ast {C}aucasian languages	2021	Linguistic Convergence Laboratory	Moscow		{T}ypological {A}tlas of the {L}anguages of {D}aghestan ({T}{A}{L}{D})	Daniel, M. and Filatov, K. and Maisak, T. and Moroz, G. and Mukhin, T. and Naccarato, C. and Verhees, S.							
	inproceedings	Moskvina2025	Moskvina, A. and Kirina, M.	{F}ear and {L}oathing in {R}ussian {L}iterature: {A} {C}ase of {E}motion {A}nnotation of {S}hort {S}tories of the 20th {C}entury	2024	Springer Nature Switzerland	Cham	113--129	{I}nternational {C}onference on {I}nternet and {M}odern {S}ociety								
	book	Murcia2008	Celce-Murcia, M. and Larsen-Freeman, D.	{T}he grammar book	2008	Thomson Learning Ltd.											
	phdthesis	Murray2010	Murray, S.	{E}videntiality and the {S}tructure of {S}peech {A}cts	2010								Rutgers University				
	article	Murray2014	Murray, S.	{V}arieties of update	2014			1--53			Semantics & Pragmatics	2			7		
ru	book	myiznikov2005	Мызников, С. А.	{Р}усские говоры {С}реднего {П}оволжья	2005	Наука											
	article	naccaratomoroz2025	Naccarato, C. and Moroz, G.	{N}on-standard numeral constructions in {L}2 {R}ussian: {A} corpusbased study	2025						International Journal of Bilingualism			https://doi.org/10.1177/13670069251323203			
	incollection	naccaratoverhees2021	Naccarato, C. and Verhees, S.	{M}orning greetings	2021	Linguistic Convergence Laboratory	Moscow		{T}ypological {A}tlas of the {L}anguages of {D}aghestan ({T}{A}{L}{D})	Daniel, M. and Filatov, K. and Maisak, T. and Moroz, G. and Mukhin, T. and Naccarato, C. and Verhees, S.				10.5281/zenodo.6807070			
	article	nagel1974	Nagel, T.	{W}hat {I}s {I}t {L}ike to {B}e a {B}at?	1974			435--450			The Philosophical Review	4			83		
	article	nakagawaschielzeth2013	Nakagawa, S. and Schielzeth, H.	{A} general and simple method for obtaining {R}2 from generalized linear mixed-effects models	2013			133--142			Methods Ecol Evol.	4					
ru	incollection	NedjalkovJaxontov1983	Недялков, В. П. and Яхонтов, С. Е.	{Т}ипология результативных конструкций	1983	Наука	Ленинград	5--41	{Т}ипология результативных конструкций (результатив, статив, пассив, перфект)	Недялков, В. П.							
ru	article	nikolaeva1983	Николаева, Т. М.	{Ф}ункциональная нагрузка неопределенных местоимений в русском языке	1983			342--358			Изв. АН СССР, сер. лит. и яз.	4			42		
	article	nikolaeva1983	Николаева, Т. М.	{Ф}ункциональная нагрузка неопределенных местоимений в русском языке	1983			342--358			Изв. АН СССР, сер. лит. и яз.	4			42		
	book	NikolaevaTolskaya2001	Nikolaeva, I. and Tolskaya, M.	{A} grammar of {U}dihe	2001	De Gruyter Mouton	Berlin, New York									Mouton Grammar Library [MGL]	
	article	nishiyama2010	Nishiyama, A. and Koenig, J. P.	{W}hat is a perfect state?	2010			611--646			Language	3			86		
ru	article	Okninaetal2025	Окнина, Л. Б. and Подлепич, В. В. and Вологдина, Я. О. and Зибер, И. А. and Машеров, Е. Л. and Слезкин, А. А. and Стрельникова, Е. В. and Канцерова, А. О.	{О}собенности восприятия собственного имени человеком по сравнению с восприятием имен сходного и отличного звучания: анализ потенциалов, связанных с событиями	2025			3--13			Физиология человека	2			51		
	article	oleary2021	O’Leary, M. C.	{L}ocality constraints in nominal evaluation times	2021			938	{P}roceedings of the {L}inguistic {S}ociety of {A}merica			1		https://doi.org/10.3765/plsa.v6i1.5041	6		
	phdthesis	oleary2022	O’Leary, M. C.	{A}bout {T}ime: {L}exical, {S}tructural, and {D}iscourse {C}onstraints on the {T}emporal {I}nterpretation of {N}ominal {P}redicates	2022	University of California, Los Angeles	Los Angeles						University of California, Los Angeles				
	article	Orero2008	Orero, P.	{T}hree different receptions of the same film: """"""""{T}he {P}ear {S}tories {P}roject"""""""" applied to audio description	2008			179--193			Eur J Engl Stud	2		doi:10.1080/13825570802151424	12		
ru	book	oslon2018	Ослон, М. В.	{Я}зык котляров-молдован. {Г}рамматика кэлдэрарского диалекта цыганского языка в русскоязычном окружении	2018	Издательский Дом ЯСК	Москва										
ru	article	paducheva2015	Падучева, Е. В.	{С}нятая утвердительность и неверидиктальность ({Н}a примере русских местоимений отрицательной полярности) / {S}uspended assertion and nonveridicality: {T}he case of {R}ussian {N}egative {P}olarity {I}tems	2015			129--162			Russian Linguistics	2			39		
ru	misc	paducheva2016	Падучева, Е. В.	{М}естоимения неизвестности. {М}атериалы для проекта корпусного описания русской грамматики, http://rusgram.ru.	2016												
	article	PakendorfKrivoshapkina2014	Pakendorf, B. and Krivoshapkina, I. V.	Ėven nominal evaluatives and the marking of definiteness	2014			289--331			Linguistic Typology	2			18		
ru	book	panov1968	Панов, М. В.	{Р}усский язык и советское общество: {М}орфология и синтаксис современного русского литературного языка	1968	Наука	Москва										
	article	panovaphilippova2021	Panova, A. and Philippova, T.	{W}hen a cross-linguistic tendency marries incomplete acquisition: {P}reposition drop in {R}ussian spoken in {D}aghestan	2021			640--667			International Journal of Bilingualism	3		https://doi.org/10.1177/1367006921990442			
	article	panse2018	Panse, C.	{R}ectangular statistical cartograms in {R}: {T}he recmap package	2018			1--27			Journal of Statistical Software				86		
	inproceedings	Papineni2002	Papineni, K. and Roukos, S. and Ward, T. and Zhu, W. J.	{B}leu: a {M}ethod for {A}utomatic {E}valuation of {M}achine {T}ranslation	2002	Association for Computational Linguistics	Philadelphia, Pennsylvania, USA	311--318	{P}roceedings of the 40th {A}nnual {M}eeting of the {A}ssociation for {C}omputational {L}inguistics	Isabelle, P. and Charniak, E. and Lin, D.				https://aclanthology.org/P02-1040/			
	article	PapineniEtAl2002	Papineni, K. and Roukos, S. and Ward, T. and Zhu, W. J.	{B}{L}{E}{U}: {A} {M}ethod for {A}utomatic {E}valuation of {M}achine {T}ranslation	2002			311--318	{P}roc. of the 40th {A}nnual {M}eeting of the {A}ssociation for {C}omputational {L}inguistics								
	incollection	Paquot2012	Paquot, M.	{T}he {L}{E}{A}{D} dictionary-cum-writing aid: {A}n integrated dictionary and corpus tool	2012	Oxford University Press	Oxford	163--186	{E}lectronic lexicography	Granger, S. and Paquot, M.							
	thesis	parker2023	Parker, C.	{A} {G}rammar of the {S}hughni {L}anguage	2023		Montreal						McGill University				
	article	partee1973	Partee, B. H.	{S}ome {S}tructural {A}nalogies {B}etween {T}enses and {P}ronouns in {E}nglish	1973			601--609			Journal of Philosophy	18			70		
ru	book	pavlov2017	Павлов, И. П.	{С}овременный чувашский язык ({V}ol. 2)	2017	Чувашский гос. ин-т гуманитарных наук											
	book	Peirce1960a	Peirce, C. S.	{C}ollected papers of {C}harles {S}anders {P}eirce. {V}olume {I}. {P}rinciples of {P}hilosophy and {V}olume {I}{I}. {E}lements of {L}ogic	1960	Belknap Press of Harvard University Press	Cambridge, MA			Hartshorne, C. and Weiss, P.							
	book	Peirce1960b	Peirce, C. S.	{C}ollected papers of {C}harles {S}anders {P}eirce. {V}olume {V}. {P}ragmatism and {P}ragmaticism and {V}olume {V}{I}. {S}cientific {M}etaphysics	1960	Belknap Press of Harvard University Press	Cambridge, MA			Hartshorne, C. and Weiss, P.							
	book	Peirce1960c	Peirce, C. S.	{C}ollected papers of {C}harles {S}anders {P}eirce. {V}olume {I}{I}{I}. {E}xact {L}ogic ({P}ublished {P}apers) and {V}olume {I}{V}. {T}he {S}implest {M}athematics	1960	Belknap Press of Harvard University Press	Cambridge, MA			Hartshorne, C. and Weiss, P.							
	book	Peirce1966	Peirce, C. S.	{C}ollected papers of {C}harles {S}anders {P}eirce. {V}olume {V}{I}{I}. {S}cience and {P}hilosophy and {V}olume {V}{I}{I}{I}. {R}eviews, {C}orrespondence and {B}ibliography	1966	Belknap Press of Harvard University Press	Cambridge, MA			Burks, A. W.							
	article	pekelis2023	Pekelis, O. E.	{R}ussian indefinite markers to and nibud’: a microdiachtonic approach	2023			253--277			Russian Linguistics				47		
	incollection	pereltsvaig2000	Pereltsvaig, A.	{M}onotonicity-based vs. veridicality-based approaches to negative polarity: {E}vidence from {R}ussian	2000	Michigan Slavic Publishers	Ann Arbor	328--346	{F}ormal {A}pproaches to {S}lavic {L}inguistics ({F}{A}{S}{L})	King, T. H. and Sekerina, I. A.		8					
	incollection	pereltsvaig2004	Pereltsvaig, A.	{N}egative polarity items in {R}ussian and the ‘bagel problem’	2004	Slavica Publishers	Bloomington	153--178	{N}egation in {S}lavic	Przepiorkowski, A. and Brown, S.							
	article	pereltsvaig2006	Pereltsvaig, A.	{S}mall nominals	2006			433--500			Natural Language & Linguistic Theory	2			24		
	book	pesetsky2013	Pesetsky, D.	{R}ussian case morphology and the syntactic categories	2013	MIT Press	Cambridge, MA										
	incollection	peterson2011	Peterson, M. P.	{T}he tile-based mapping transition in cartography	2011	Springer Berlin Heidelberg	Berlin, Heidelberg	151--163	{M}aps for the {F}uture: {C}hildren, {E}ducation and {I}nternet								
ru	book	petrova2011	Петрова, З.Н. and Коноплина, Е.Д.	{С}ловарь русского языка {X}{V}{I}{I}{I} века. {В}ып. 19 ({П}енат — {П}лангерд).	2011	Наука	СПб	239									
	article	pezzulolevin2016	Pezzulo, G. and Levin, M.	{T}op-down models in biology: explanation and control of complex living systems above the molecular level	2016	The Royal Society		20160555			Journal of The Royal Society Interface	124			13		
	article	Pho2008	Pho, P. D.	{R}esearch article abstracts in applied linguistics and educational technology: {A} study of linguistic realizations of rhetorical structure and authorial stance	2008			231--250			Discourse Studies	10(2)					
	article	pietarinenbeni2021	Pietarinen, A.-V. and Beni, M. D.	{A}ctive inference and abduction	2021	Springer		499--517			Biosemiotics	2			14		
ru	phdthesis	pinegina2005	Пинегина, Я. Н.	{П}арцеллированные конструкции и их коммуникативно-прагматические функции в современных медиатекстах. дис. ... канд. филол. наук.	2005		Ростов н/Д										
	phdthesis	pinegina2005	Пинегина, Я. Н.	{П}арцеллированные конструкции и их коммуникативно-прагматические функции в современных медиатекстах. дис. ... канд. филол. наук.	2005		Ростов н/Д										
	article	Piskorski2023	Piskorski, J. and Stefanovitch, N. and Nikolaidis, N. and Da San Martino, G. and Nakov, P.	{M}ultilingual {M}ultifaceted {U}nderstanding of {O}nline {N}ews in {T}erms of {G}enre, {F}raming, and {P}ersuasion {T}echniques	2023			3001--3022	{P}roceedings of the 61st {A}nnual {M}eeting of the {A}ssociation for {C}omputational {L}inguistics ({V}olume 1: {L}ong {P}apers)								
ru	misc	pleshak2018	Плешак, П. С.	{Н}екоторые сюжеты о структуре хантыйской {И}{Г}	2018											Неопубликованный экспедиционный отчет	
ru	incollection	podobryaev2017a	Подобряев, А.В.	{С}интаксис простого предложения	2017	Буки Веди		374--384	{Э}лементы татарского языка в типологическом освещении. {М}ишарский диалект	Татевосов, С.Г. and Пазельская, А.Г. and Сулейманов, Д.Ш.							
ru	incollection	podobryaev2017b	Подобряев, А.В.	{Ф}инитные сентенциальные дополнения	2017	Буки Веди		560--588	{Э}лементы татарского языка в типологическом освещении. {М}ишарский диалект	Татевосов, С.Г. and Пазельская, А.Г. and Сулейманов, Д.Ш.							
	article	privizentseva2024	Privizentseva, M.	{S}emantic agreement in {R}ussian: gender, declension, and morphological ineffability	2024			767--814			Natural Language and Linguistic Theory			doi: 10.1007/s11049-023-09587-0	42		
ru	book	priyatkina2007	Прияткина, А. Ф.	{Р}усский синтаксис в грамматическом аспекте (синтаксические связи и конструкции)	2007	Изд-во Дальневосточного ун-та	Владивосток										
	book	priyatkina2007	Прияткина, А. Ф.	{Р}усский синтаксис в грамматическом аспекте (синтаксические связи и конструкции)	2007	Изд-во Дальневосточного ун-та	Владивосток										
	book	putnam1981	Putnam, H.	{R}eason, truth and history	1981	Cambridge University Press	Cambridge										
	book	putnam1987	Putnam, H.	{T}he {M}any {F}aces of {R}ealism: {T}he {P}aul {C}arus {L}ectures	1987	Open Court	LaSalle, Illinois										
	article	quine1960	Quine, W. V. O.	{C}arnap and {L}ogical {T}ruth	1960			350--374			Synthese	4			12		
	article	rackowski2005	Rackowski, A. and Richards, N.	{P}hase edge and extraction: {A} {T}agalog case study	2005			565--599			Linguistic inquiry	4			36		
	article	Raffel2023	Raffel, C. and Shazeer, N. and Roberts, A. and Lee, K. and Narang, S. and Matena, M. and Zhou, Y. and Li, W. and Liu, P. J.	{E}xploring the {L}imits of {T}ransfer {L}earning with a {U}nified {T}ext-to-{T}ext {T}ransformer	2023				ar{X}iv:1910.10683								
ru	book	rakhilina2010	Рахилина, Е.В.	{К}огнитивный анализ предметных имен	2010	Азбуковник	М.	448									
ru	article	rakhilinakazkenova2025	Рахилина, Е. В. and Казкенова, А.	{Н}естандартные метафоры движения в текстах казахско-русских билингвов	2025						Russian Language Journal	1			75		
ru	article	rakhilinareznikova2013	Рахилина, Е.В. and Резникова, Т.И.	{Ф}реймовый подход к лексической типологии	2013			3--31			Вопросы языкознания	2					
ru	article	rakhilinaryzhova2025	Рахилина, Е.В. and Рыжова, Д.А.	{О} принципах глагольной колексификации	2025			7--25			Вопросы языкознания	2					
	book	ramchand2018	Ramchand, G. C.	{S}ituations and syntactic structures: {R}ethinking auxiliaries and order in {E}nglish	2018	MIT Press									77		
	article	rappaport1986	Rappaport, G.	{O}n anaphor binding in {R}ussian	1986			97--120			Natural Language and Linguistic Theory				4		
	manual	rcoreteam2018	R Core Team	{R}: {A} {L}anguage and {E}nvironment for {S}tatistical {C}omputing	2018	R Foundation for Statistical Computing	Vienna, Austria										
ru	article	reznikova2022	Резникова, Т.И.	{Г}лаголы прятания: типология систем	2022			66--94			Вопросы языкознания	4					
ru	book	rezyukov1959	Резюков, Н. А.	{С}опоставительная грамматика чувашского и русского языков.	1959	Гос. изд. Чувашской АССР											
	phdthesis	richards1997	Richards, N.	{W}hat moves where when in which language?	1997		Cambridge, MA						Massachusetts Institute of Technology				
	book	rieseetal2022	Riese, T. and Bradley, J. and Yefremova, T.	{M}ari. {A}n {E}ssential {G}rammar for {I}nternational {L}earners	2022	University of Vienna								grammar.mari-language.com			
	incollection	Roberts1996	Roberts, C.	{I}nformation structure: {T}owards an integrated formal theory of pragmatics	1996	The Ohio State University Department of Linguistics	Columbus, OH	91--136	{P}apers in {S}emantics	Yoon, J. H. and Kathol, A.					49	OSU Working Papers in Linguistics	
	article	Rolf1980	Rolf, B.	{A} theory of vagueness	1980	Springer		315--325			Journal of Philosophical Logic	3			9		
	incollection	ross1973	Ross, J. R.	{S}lifting	1973	Mouton de Gruyter	The Hague; Paris	133--169	{T}he {F}ormal {A}nalysis of {N}atural {L}anguages	Gross, M. and Halle, M. and Schützenberger, M.-P.							
	article	rostovtsevpopel2009	Ростовцев-Попель, А. А.	{Т}ипология демонстративов: средние дейктики	2009			22--34			Вопросы языкознания	2					
ru	article	rostovtsevpopel2019	Ростовцев-Попель, А. А.	{Т}ипология демонстративов: средние дейктики	2009			22--34			Вопросы языкознания	2					
	article	Rothe2021	Rothe, S. and Mallinson, J. and Malmi, E. and Krause, S. and Severyn, A.	{A} simple recipe for multilingual grammatical error correction	2021			702--707	{P}roceedings of the 59th {A}nnual {M}eeting of the {A}ssociation for {C}omputational {L}inguistics and the 11th {I}nternational {J}oint {C}onference on {N}atural {L}anguage {P}rocessing ({V}olume 2: {S}hort {P}apers)	Zong, C. and Xia, F. and Li, W. and Navigli, R.							
	article	rozovskayaroth2019	Rozovskaya, A. and Roth, D.	{G}rammar error correction in morphologically rich languages: {T}he case of {R}ussian	2019	MIT Press	Cambridge, Massachusetts	1--17	{T}ransactions of the {A}ssociation for {C}omputational {L}inguistics	Celikyilmaz, A. and Reichart, R. and Hakkani Tur, D.							
	article	rudnev2024	Rudnev, P.	{C}ategorial selection and functional structure in the noun phrase: revisiting {R}ussian small nominals	2024			art. 1			Russian Linguistics	1			48		
ru	misc	ruscorpus		{Н}ациональный корпус русского языка										https://ruscorpora.ru/			
ru	book	ryzhovaetal2018	Рыжова, Д.А. and Добрушина, Н.Р. and Бонч-Осмоловская, А.А. and Выренкова, А.С. and Кюсева, М.В. and Орехов, Б.В. and Резникова, Т.И.	{Е}{В}{Р}ика! {С}борник статей о поисках и находках к юбилею {Е}.{В}. {Р}ахилиной	2018	Лабиринт	М.	392									
ru	misc	SaluteSpeech		{S}alute{S}peech										https://developers.sber.ru/portal/products/smartspeech			
	incollection	samvelian2018	Samvelian, P.	{S}pecific features of {P}ersian syntax. {T}he {E}zāfe {C}onstruction, {D}ifferential {O}bject {M}arking and {C}omplex {P}redicates	2018	Oxford University Press	Oxford	226--269	{T}he {O}xford handbook of {P}ersian linguistics	Sedighi, A. and Shabani-Jadid, P.							
	inproceedings	Sanguedolce2024	Sanguedolce, G. and Brook, S. and Gruia, D. and Naylor, P. and Geranmayeh, F.	{W}hen {W}hisper listens to aphasia: advancing robust post-stroke speech recognition	2024			1995--1999	{P}roceedings of {I}nterspeech 2024					doi:10.21437/Interspeech.2024-2183			
	article	SauerlandSchenner2007	Sauerland, U. and Schenner, M.	{E}mbedded evidentials in {B}ulgarian	2007			495--509			Proceedings of Sinn und Bedeutung				11		
	incollection	savelyev2020	Savelyev, A.	{C}huvash and the {B}ulgharic languages	2020			446--464	{T}he {O}xford {G}uide to the {T}ranseurasian {L}anguages					https://doi.org/10.1093/oso/9780198804628.003.0028			
	article	Schmid2003	Шмид, В.	{Н}арратология	2003	Языки славянской культуры	Москва										
ru	article	serdobolskayatoldova2014	Сердобольская, Н. В. and Толдова, С. Ю.	{К}онструкции с оценочными предикативами в русском языке: участники ситуации оценки и семантика оценочного предиката	2014			443--477			Acta Linguistica Petropolitana. Труды института лингвистических исследований	2			10		
ru	book	Serebrennikov1960	Серебренников, Б.А.	{К}атегория времени и вида в финно-угорских языках пермской и волжской группы	1960	Наука	Москва										
	incollection	shagal2016	Shagal, K.	{C}ontact-induced grammatical phenomena in the {R}ussian of {E}rzya {S}peakers	2016	University of Helsinki	Helsinki	363--377	{M}ordvin languages in the field								
	inproceedings	Sherstinova2009	Sherstinova, T.	{T}he {S}tructure of the {O}{R}{D} {S}peech {C}orpus of {R}ussian {E}veryday {C}ommunication	2009	Springer		258--265	{I}nternational {C}onference on {T}ext, {S}peech and {D}ialogue								
ru	incollection	Sherstinova2013	Шерстинова, Т.Ю.	{К}оммуникативные макроэпизоды в корпусе повседневной русской речи «{О}дин речевой день»: принципы аннотирования и результаты статистической обработки	2013		СПб	449--456	{К}орпусная лингвистика-2013: тр. междунар. конф.								
ru	article	Sherstinova2019	Шерстинова, Т.Ю.	{Б}иографическая база данных русских писателей (к созданию корпуса русского рассказа {X}{X} века)	2019			439--447	{К}орпусная лингвистика-2019								
ru	incollection	Sherstinova2019a	Шерстинова, Т.Ю.	{Б}иографическая база данных русских писателей (к созданию корпуса русского рассказа {X}{X} века)	2019			439--447	{К}орпусная лингвистика-2019								
ru	incollection	Sherstinova2019b	Шерстинова, Т.Ю.	{О} подготовке к веб-публикации корпуса повседневной русской речи «{О}дин речевой день»: анонимизация текстов и выборочное кодирование лексики	2019			366--372	{Т}руды международной конференции «{К}орпусная лингвистика-2019»								
ru	incollection	Sherstinova2023a	Шерстинова, Т.Ю. and Кирина, М.А. and Хлусова, Я.К.	{К}орпус русского рассказа как база для проведения социолингвистических исследований русской литературы	2023			200--211	{И}нформационные технологии в гуманитарных исследованиях: {М}атериалы {М}еждународной научно-практической конференции, {К}расноярск, 25--28 сентября 2023 г.								
ru	article	Sherstinova2023b	Шерстинова, Т.Ю. and Колпащикова, Е.О. and Сейнова, А.Р. and Максименко, П.И. and Родионов, Р.А.	{Р}усский рассказ 1900--1930-х и его восприятие читателем: опыт квантитативного анализа оценки художественного текста	2023			164--184	{Ч}еловек: {О}браз и сущность. {Г}уманитарные аспекты			2 (54)					
ru	article	Sherstinova2023c	Шерстинова, Т.Ю. and Петрова, И.А.	{М}оделирование повседневного речевого поведения: {К}орпус устной речи молодежи, или {О}{Р}{Д} {V}. 2.0.	2023				{С}оцио- и психолингвистические исследования			11					
	inproceedings	Sherstinova2024	Sherstinova, T. and Petrova, I.	{E}{S}{C} {C}orpus of {S}poken {R}ussian: {E}veryday {S}tudent {C}onversations {C}aptured through {C}ontinuous {S}peech {R}ecording in {N}atural {C}ommunicative {E}nvironments	2024				26th {I}nternational {C}onference on {S}peech and {C}omputer {S}{P}{E}{C}{O}{M}-2024, 25-28 {N}ovember 2024, {B}elgrade, {S}erbia								
	inproceedings	Sherstinova2024a	Sherstinova, T. and Mikhaylovskiy, N. and Kolpashchikova, E. and Kruglikova, V.	{B}ridging {G}aps in {R}ussian {L}anguage {P}rocessing: {A}{I} and {E}veryday {C}onversations	2024			253--258	35th {C}onference of {O}pen {I}nnovations {A}ssociation ({F}{R}{U}{C}{T})								
ru	article	Sherstinova2025	Шерстинова, Т.Ю. and Кирина, М.А. and Хлусова, Я.К.	{К}орпус русского рассказа {X}{X} века: текущее состояние и перспективы развития	2025				{Т}руды международной конференции «{К}{О}{Р}{П}{У}{С}{Н}{А}{Я} {Л}{И}{Н}{Г}{В}{И}{С}{Т}{И}{К}{А} -- 2025»								
ru	article	SherstinovaEtAl2023	Шерстинова, Т.Ю. and Колпащикова, Е.О. and Сейнова, А.Р. and Максименко, П.И. and Родионов, Р.А.	{Р}усский рассказ 1900-1930-х и его восприятие читателем: опыт квантитативного анализа оценки художественного текста	2023			164--184			Человек: Образ и сущность. Гуманитарные аспекты	2 (54)					
	article	SherstinovaEtAl2024	Sherstinova, T. and Mikhaylovskiy, N. and Kolpashchikova, E. and Kruglikova, V.	{B}ridging {G}aps in {R}ussian {L}anguage {P}rocessing: {A}{I} and {E}veryday {C}onversations	2024		Tampere, Finland	665--674	35th {C}onference of {O}pen {I}nnovations {A}ssociation ({F}{R}{U}{C}{T})								
ru	article	SherstinovaKirinaHl2023	Шерстинова, Т.Ю. and Кирина, М.А. and Хлусова, Я.К.	{К}орпус русского рассказа как база для проведения социолингвистических исследований русской литературы	2023	Сибирский федеральный университет	Красноярск	200--211	{И}нформационные технологии в гуманитарных исследованиях: {М}атериалы {М}еждународной научно-практической конференции, {К}расноярск, 25–28 сентября 2023 г.								
