NOTE	CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NUMBER	SCHOOL	URL	VOLUME	SERIES	HOWPUBLISHED
	article	Ben-David2012	Ben-David, B.M. and Schneider, B.A. and Alain, C.	{D}oes it take older adults longer than younger adults to separate speech from a steady-state noise masker?	2012			107--113			Hear Res						
	article	Benali2021	Benali, A.	{T}he {I}mpact of {U}sing {A}utomated {W}riting {F}eedback in {E}{S}{L}/{E}{F}{L} {C}lassroom {C}ontexts	2021			189			English Language Teaching	14(12)					
ru	article	Berger2017	Берджер, Д.	{З}ачем смотреть на животных?	2017	Ад Маргинем Пресс	Москва	160									
ru	book	Berger2017	Берджер, Д.	{З}ачем смотреть на животных?	2017	Ад Маргинем Пресс	Москва	160									
	article	bertrand2022	Bertrand, A. and Aonuki, Y. and Chen, S. and Davis, H. and Gambarage, J. and Griffin, L. and Huijsmans, M. and Matthewson, L. and Reisinger, D. and Rullmann, H.	{N}obody’s {P}erfect	2022						Languages	2			7		
	book	Bhatia1993	Bhatia, V. K.	{A}nalysing genre: {L}anguage use in professional settings	1993	Longman											
	book	Biber1999	Biber, D. and Johansson, S. and Leech, G. and Conrad, S. and Finegan, E. and Quirk, R.	{L}ongman grammar of spoken and written {E}nglish	1999	Longman											
	article	bickel2003	Bickel, B.	{R}eferential {D}ensity in {D}iscourse and {S}yntactic {T}ypology	2003			708--736			Language	4		doi:10.1353/lan.2003.0205	79		
	mathesis	bikina2019	Bikina, D.	{S}yntax of {N}on-finite {R}elative {C}lauses in {K}azym {K}hanty	2019		Moscow						HSE University				
	article	bikina2022	Bikina, D. and Rakhman, D. and Potseluev, V. and Starchenko, A. and Toldova, S.	{N}on-finite constructions in {K}hanty: their unity and diversity	2022						Folia Linguistica	0		https://doi.org/10.1515/flin-2022-2043			
	misc	Bird2009	Bird, S. and Klein, E. and Loper, E.	{N}atural {L}anguage {P}rocessing with {P}ython	2009	O'Reilly Media Inc.								https://www.nltk.org/book			
	article	BirdKleinLoper2009	Bird, S. and Klein, E. and Loper, E.	{N}atural {L}anguage {P}rocessing with {P}ython	2009	O’Reilly Media Inc.								https://www.nltk.org/book			
	incollection	bobrovapietarinen2019	Bobrova, A. and Pietarinen, A.-V.	{T}houghts, things and logical guidance	2019	Springer	Cham	43--58	{P}eirce and {H}usserl: {M}utual insights on logic, mathematics and cognition	Shafiei, M. and Pietarinen, A.-V.					46	Logic, Epistemology, and the Unity of Science	
	misc	boersmaweenink2025	Boersma, P., and Weenink, D.	{P}raat: doing phonetics by computer. {A}vailable online at: http://www.praat.org/	2025												
	inproceedings	Bogdanova-Beglarian2016	Bogdanova-Beglarian, N. and Sherstinova, T. and Blinova, O. and Ermolova, O. and Baeva, E. and Martynenko, G. and Ryko, A.	{S}ociolinguistic {E}xtension of the {O}{R}{D} {C}orpus of {R}ussian {E}veryday {S}peech	2016			659--666	{S}peech and {C}omputer: 18th {I}nternational {C}onference ({S}{P}{E}{C}{O}{M} 2016), 23 - 27 {A}ugust 2016, {B}udapest, {H}ungary								
ru	book	Bogdanova-Beglarian2016a	Богданова-Бегларян, Н. В. and Шерстинова, Т. Ю. and Баева, Е. М. and Блинова, О. В. and Мартыненко, Г. Я. and Ермолова, О. Б. and Рыко, А. И.	{Р}усский язык повседневного общения: особенности функционирования в разных социальных группах	2016	ЛАЙКА	Санкт-Петербург	244									
ru	article	Bogdanova-Beglarian2019	Богданова-Бегларян, Н. В. and Блинова, О. В. and Мартыненко, Г. Я. and Шерстинова, Т. Ю.	{К}орпус русского языка повседневного общения «{О}дин речевой день» ({О}{Р}{Д}): текущее состояние и перспективы	2019			100--110	{Т}руды {И}нститута русского языка им. {В}. {В}. {В}иноградова						21		
	article	BogdanovaBeglarianEtAl2016	Bogdanova-Beglarian, N. and Sherstinova, T. and Blinova, O. and Ermolova, O. and Baeva, E. and Martynenko, M. and Ryko, A.	{S}ociolinguistic {E}xtension of the {O}{R}{D} {C}orpus of {R}ussian {E}veryday {S}peech	2016	Springer		659--666	{S}peech and {C}omputer: 18th {I}nternational {C}onference ({S}{P}{E}{C}{O}{M} 2016), 23 - 27 {A}ugust 2016, {B}udapest, {H}ungary								
ru	article	BogdanovaBeglarianEtAl2016	Богданова-Бегларян, Н.В. and Шерстинова, Т.Ю. and Баева, Е.М. and Блинова, О.В. and Мартыненко, Г.Я and Ермолова, О.Б. and Рыко, А.И.	{Р}усский язык повседневного общения: особенности функционирования в разных социальных группах	2016	Лайка	Санкт-Петербург	244									
ru	article	BogdanovaBeglarianEtAlORD2019	Богданова-Бегларян, Н.В. and Блинова, О. В. and Мартыненко, Г. Я. and Шерстинова, Т. Ю.	{К}орпус русского языка повседневного общения «{О}дин речевой день» ({О}{Р}{Д}): текущее состояние и перспективы	2019			100--110	{Т}руды {И}нститута русского языка им. {В}. {В}. {В}иноградова						21		
	article	bohnemeyer2014	Bohnemeyer, J.	{A}spect vs. {R}elative {T}ense: {T}he case reopened	2014			917--954			Natural Language & Linguistic Theory	3			32		
	phdthesis	bondarenko2022	Bondarenko, T.	{A}natomy of an attitude	2022								Massachusetts Institute of Technology				
	article	bondarenko2024	Bondarenko, T. and Davis, C.	{C}ross-clausal scrambling and subject case in {B}alkar: {O}n multiple specifiers and the locality of overt and covert movement	2024						Syntax						
ru	article	Borisov2024a	Борисов, Е. В.	{П}рямое решение проблемы {К}рипке	2024			23--32			Эпистемология и философия науки	2			61		
ru	article	Borisov2024b	Борисов, Е. В.	{О}твет оппонентам	2024			89--94			Эпистемология и философия науки	2			61		
	article	boskovic2005	Boˇskovi´c, Z.	{O}n the locality of left branch extraction and the structure of {N}{P}	2005			1--45			Studia linguistica	1			59		
	article	boskovic2016	Boˇskovi´c, Z.	{G}etting really edgy: {O}n the edge of the edge	2016			1--33			Linguistic inquiry	1			47		
	article	bradleylang1999	Bradley, M.M. and Lang, P.J.	{A}ffective norms for {E}nglish words ({A}{N}{E}{W}): {I}nstruction manual and affective ratings	1999	University of Florida	US		{T}echnical {R}eport {C}-1								
	article	BradleyLang1999	Bradley, M.M. and Lang, P.J.	{A}ffective norms for {E}nglish words ({A}{N}{E}{W}): {I}nstruction manual and affective ratings	1999	University of Florida	US		{T}echnical {R}eport {C}-1								
	misc	Bredin	Bredin, H. and Yin, R. and Coria, J. M. and Gelly, G. and Korshunov, P. and Lavechin, M. and Fustes, D. and Titeux, H. and Bouaziz, W. and Gill, M. P.	{P}yannote.audio: neural building blocks for speaker diarization										https://arxiv.org/abs/1911.01255			
	article	BredinEtAl2019	Bredin, H. and Yin, R. and Coria, J.M. and Gelly, G. and Korshunov, P. and Lavechin, M. and Fustes, D. and Titeux, H. and Bouaziz, W. and Gill, M.-P.	{P}yannote.audio: {N}eural building blocks for speaker diarization	2019									https://arxiv.org/abs/1911.01255			
ru	book	Bubrich1949	Бубрих, Д.В.	{Г}рамматика литературного коми языка	1949	ЛГУ им. А. А. Жданова	Ленинград										
ru	incollection	bubrikh1985	Бубрих, Д. В.	{Р}усский язык в его отличиях от мордовского.	1985	Мордов. кн. изд-во		146--165	{П}роблемы мордовско-русского билингвизма								
